日期,從帳戶,轉出金額,幣別,到帳戶,轉入金額,幣別,標籤,備註,上次更新,UUID
20260303,Bankee,5211,TWD,BT21,5211,TWD,,自動繳款[1月07日〜2月06日],2026-03-03 08:50:28,900AFAD0-5599-4F2F-9701-643844770F2E
20260302,國泰子帳戶,110,TWD,兆豐藍籌,110,TWD,,,2026-03-18 10:11:28,9C946AFC-2CAC-4A40-9F9F-65F173EF97DC
20260302,國泰子帳戶,565,TWD,元大50,565,TWD,,,2026-03-09 20:09:23,06C3D552-A5C8-40B1-BF46-E2953A418018
20260302,國泰子帳戶,565,TWD,元大50,565,TWD,,,2026-03-09 20:09:07,600105A3-E0D0-44E6-AA77-8C837C1B2B3F
20260302,國泰子帳戶,565,TWD,元大50,565,TWD,,,2026-03-09 20:08:47,92AEADBF-6448-4DC9-87A3-93EABEF2B4D8
20260302,中信,1000,TWD,國泰數位帳戶,1000,TWD,,,2026-03-02 22:32:38,53EC2445-A699-40ED-8412-0FB82D4B6699
20260302,中信,29142,TWD,Bankee,29142,TWD,,,2026-03-02 22:32:27,2CF1A876-24D4-4348-8216-02277FD0613D
20260301,郵局,7957,TWD,Bankee,7957,TWD,,,2026-03-02 22:30:15,37C0C5EC-A17B-4A66-B03E-684F59DD1C8C
20260301,Bankee,100,TWD,悠遊付錢包,100,TWD,,,2026-03-01 21:50:46,737935B3-54B9-4766-BD39-8E81006F381A
20260225,郵局,8888,TWD,國泰子帳戶,8888,TWD,,,2026-02-25 09:39:52,9AA9CFDC-FAE1-474B-8AD9-6B22ADF8C9FB
20260224,國泰子帳戶,1027,TWD,元大50,1027,TWD,,,2026-02-24 20:08:03,620B6F2B-ABA9-4A29-990E-4FB04EB542BE
20260223,國泰子帳戶,108,TWD,兆豐藍籌,108,TWD,,,2026-02-24 20:08:52,ED8D083D-1B2E-458A-800C-88B950F356F0
20260223,國泰子帳戶,1638,TWD,元大50,1638,TWD,,,2026-02-24 20:08:34,E9F1D1D4-77DC-4203-8C92-B5D0520B6038
20260220,錢包,6000,TWD,郵局,6000,TWD,,,2026-02-20 20:15:37,763A4F91-69C9-4157-B10A-CCC444706C88
20260214,Bankee,100,TWD,悠遊付錢包,100,TWD,,,2026-02-25 10:03:03,9F9C2DD7-C469-4354-B6AF-01CCF96DD36F
20260214,CUBE COMBO,500,TWD,點點卡,500,TWD,,,2026-02-25 09:46:22,591FB83E-5077-4814-AD81-353650FDF95B
20260213,中信,10000,TWD,討債時間！,10000,TWD,,C寶的安家支援 - 哥哥學費,2026-02-13 01:27:01,7B9E11D4-FD2D-461C-B77A-7F0960B7E65C
20260212,Bankee,10000,TWD,中信,10000,TWD,,,2026-02-12 22:55:20,E0EDDE92-048E-471E-92B3-A210601E07E2
20260209,國泰子帳戶,593,TWD,元大50,593,TWD,,,2026-02-10 08:30:36,5EC2BD10-394F-4394-A622-D2DCFF46DB36
20260205,郵局,10000,TWD,Bankee,10000,TWD,,,2026-02-05 20:08:08,ABEB3377-86DE-4DF0-8C3B-01BA0A27C700
20260205,郵局,2193,TWD,國泰子帳戶,2193,TWD,,,2026-02-05 20:07:22,D6F37420-4170-42A9-A9F3-4B3791728775
20260205,Bankee,100,TWD,悠遊付錢包,100,TWD,,,2026-02-05 20:02:00,89654695-A3D5-46DD-AC4A-01016455C962
